 TIME (ms)      DELTA_TEMP (K) AVG_TEMP (K)   
 ============== ============== ============== 
  1.8761925E+10 -1.5570030E+00  2.9870996E+02 
  1.8765615E+10 -1.5560036E+00  2.9879999E+02 
  1.8769097E+10 -1.5620003E+00  2.9879999E+02 
  1.8772574E+10 -1.5560036E+00  2.9875995E+02 
  1.8776048E+10 -1.5620003E+00  2.9879999E+02 
  1.8779525E+10 -1.5670013E+00  2.9884998E+02 
  1.8782134E+10 -1.5610008E+00  2.9884998E+02 
  1.8787787E+10 -1.5620003E+00  2.9879999E+02 
  1.8791264E+10 -1.5670013E+00  2.9884998E+02 
  1.8794738E+10 -1.5610008E+00  2.9887994E+02 
  1.8798215E+10 -1.5610008E+00  2.9887994E+02 
  1.8801697E+10 -1.5610008E+00  2.9887994E+02 
  1.8805174E+10 -1.5610008E+00  2.9894995E+02 
  1.8808648E+10 -1.5620003E+00  2.9881995E+02 
  1.8812125E+10 -1.5610008E+00  2.9889996E+02 
  1.8815607E+10 -1.5610008E+00  2.9891998E+02 
  1.8816905E+10 -1.5550003E+00  2.9894995E+02 
  1.8820387E+10 -1.5660019E+00  2.9896997E+02 
  1.8823864E+10 -1.5610008E+00  2.9891998E+02 
  1.8827346E+10 -1.5550003E+00  2.9898999E+02 
  1.8830815E+10 -1.5550003E+00  2.9894995E+02 
  1.8834297E+10 -1.5550003E+00  2.9900995E+02 
  1.8837774E+10 -1.5550003E+00  2.9900995E+02 
  1.8841256E+10 -1.5490036E+00  2.9900995E+02 
  1.8844725E+10 -1.5440025E+00  2.9898999E+02 
  1.8848207E+10 -1.5550003E+00  2.9901996E+02 
  1.8854347E+10 -1.5540009E+00  2.9910999E+02 
  1.8857824E+10 -1.5600014E+00  2.9906995E+02 
  1.8861306E+10 -1.5430031E+00  2.9901996E+02 
  1.8864775E+10 -1.5540009E+00  2.9912994E+02 
  1.8868257E+10 -1.5370026E+00  2.9915997E+02 
  1.8871734E+10 -1.5530014E+00  2.9915997E+02 
  1.8873475E+10 -1.5420036E+00  2.9915997E+02 
  1.8874348E+10 -1.5540009E+00  2.9912994E+02 
  1.8877825E+10 -1.5370026E+00  2.9915997E+02 
  1.8881294E+10 -1.5480003E+00  2.9915997E+02 
  1.8884776E+10 -1.5420036E+00  2.9915997E+02 
  1.8888258E+10 -1.5420036E+00  2.9915997E+02 
  1.8891735E+10 -1.5410004E+00  2.9929999E+02 
  1.8895204E+10 -1.5360031E+00  2.9925995E+02 
  1.8916397E+10 -2.4240036E+00  2.8712000E+02 
  1.8919006E+10 -1.5170021E+00  2.9659998E+02 
  1.8922488E+10 -1.3840027E+00  2.9851996E+02 
  1.8925965E+10 -1.4100037E+00  2.9881995E+02 
  1.8929435E+10 -1.4200020E+00  2.9898999E+02 
  1.8932916E+10 -1.4540024E+00  2.9900995E+02 
  1.8936398E+10 -1.4640007E+00  2.9910999E+02 
  1.8939056E+10 -1.4920006E+00  2.9915997E+02 
  1.8942538E+10 -1.4920006E+00  2.9915997E+02 
  1.8946015E+10 -1.5080032E+00  2.9925995E+02 
  1.8949485E+10 -1.5030022E+00  2.9920996E+02 
  1.8952966E+10 -1.4960022E+00  2.9929999E+02 
  1.8956448E+10 -1.5010033E+00  2.9939996E+02 
  1.8959925E+10 -1.5010033E+00  2.9939996E+02 
  1.8963395E+10 -1.5070038E+00  2.9939996E+02 
  1.8966876E+10 -1.5010033E+00  2.9948999E+02 
  1.8970358E+10 -1.5060005E+00  2.9948999E+02 
  1.8973835E+10 -1.4950027E+00  2.9948999E+02 
  1.8977305E+10 -1.4950027E+00  2.9948999E+02 
  1.8980786E+10 -1.5010033E+00  2.9948999E+02 
  1.8984268E+10 -1.5000000E+00  2.9953998E+02 
  1.8987745E+10 -1.4770012E+00  2.9957996E+02 
  1.8989486E+10 -1.4890022E+00  2.9953998E+02 
  1.8989916E+10 -1.4780006E+00  2.9956000E+02 
  1.8993398E+10 -1.4770012E+00  2.9958997E+02 
  1.8996875E+10 -1.4830017E+00  2.9958997E+02 
  1.9000345E+10 -1.4720001E+00  2.9958997E+02 
  1.9003826E+10 -1.4720001E+00  2.9958997E+02 
  1.9004695E+10 -1.4710007E+00  2.9964996E+02 
