time                     TG21A    TG21B  TG21avg   DTH21   DTL21 
1975-092T00:04:55.153  305.347  275.434  290.390   2.993  29.913 
1975-092T00:12:09.846  305.349  275.431  290.390   2.993  29.919 
1975-092T00:19:24.538  305.298  275.385  290.341   2.992  29.913 
1975-092T00:26:39.230  305.298  275.385  290.341   2.992  29.913 
1975-092T00:33:53.923  305.215  275.303  290.259   2.991  29.912 
1975-092T00:41:08.614  305.161  275.260  290.210   2.991  29.901 
1975-092T00:48:23.307  305.197  275.291  290.244   2.991  29.906 
1975-092T00:55:38.000  305.163  275.257  290.210   2.991  29.906 
1975-092T01:02:52.693  305.026  275.132  290.079   2.989  29.894 
1975-092T01:10:07.385  305.026  275.132  290.079   2.990  29.894 
1975-092T01:17:22.077  305.032  275.127  290.079   2.990  29.905 
1975-092T01:24:36.770  305.024  275.135  290.079   2.990  29.889 
1975-092T01:31:51.462  305.029  275.130  290.079   2.989  29.899 
1975-092T01:39:06.154  304.944  275.051  289.997   2.989  29.893 
1975-092T01:46:20.847  304.944  275.051  289.997   2.989  29.893 
1975-092T01:53:35.539  304.889  275.007  289.948   2.988  29.882 
1975-092T02:00:50.233  304.840  274.959  289.900   2.988  29.881 
1975-092T02:08:04.925  304.792  274.911  289.851   2.987  29.881 
1975-092T02:15:19.618  304.807  274.926  289.866   2.987  29.881 
1975-092T02:22:34.310  304.789  274.913  289.851   2.987  29.876 
1975-092T02:29:49.003  304.740  274.865  289.802   2.986  29.875 
1975-092T02:37:03.695  304.657  274.783  289.720   2.985  29.874 
1975-092T02:44:18.388  304.655  274.786  289.720   2.986  29.869 
1975-092T02:51:33.081  304.619  274.755  289.687   2.985  29.863 
1975-092T02:58:47.773  304.570  274.707  289.638   2.985  29.863 
1975-092T03:06:02.467  304.554  274.692  289.623   2.985  29.863 
1975-092T03:13:17.159  304.533  274.676  289.605   2.985  29.857 
1975-092T03:20:31.852  304.518  274.661  289.590   2.984  29.857 
1975-092T03:27:46.545  304.467  274.616  289.541   2.984  29.851 
1975-092T03:35:01.237  304.421  274.565  289.493   2.983  29.856 
1975-092T03:42:15.931  304.418  274.567  289.493   2.983  29.850 
1975-092T03:49:30.623  304.366  274.522  289.444   2.983  29.845 
1975-092T03:56:45.316  304.372  274.516  289.444   2.983  29.855 
1975-092T04:04:00.010  304.284  274.440  289.362   2.982  29.844 
1975-092T04:11:14.702  304.281  274.443  289.362   2.982  29.838 
1975-092T04:18:29.396  304.199  274.362  289.280   2.981  29.838 
1975-092T04:25:44.088  304.197  274.364  289.280   2.981  29.832 
1975-092T04:32:58.781  304.148  274.316  289.232   2.981  29.832 
1975-092T04:40:13.474  304.102  274.265  289.184   2.980  29.837 
1975-092T04:47:28.168  304.096  274.271  289.184   2.980  29.826 
1975-092T04:54:42.861  304.014  274.189  289.102   2.979  29.825 
1975-092T05:01:57.554  304.017  274.187  289.102   2.979  29.830 
1975-092T05:09:12.247  303.963  274.144  289.053   2.979  29.819 
1975-092T05:16:26.940  303.975  274.161  289.068   2.979  29.814 
1975-092T05:23:41.634  303.914  274.096  289.005   2.978  29.819 
1975-092T05:30:56.329  303.863  274.050  288.957   2.977  29.813 
1975-092T05:38:11.022  303.814  274.002  288.908   2.977  29.812 
1975-092T05:45:25.716  303.793  273.987  288.890   2.977  29.807 
1975-092T05:52:40.409  303.696  273.890  288.793   2.975  29.806 
1975-092T05:59:55.102  303.694  273.893  288.793   2.975  29.801 
1975-092T06:07:09.796  303.696  273.890  288.793   2.976  29.806 
1975-092T06:14:24.491  303.597  273.797  288.697   2.974  29.800 
1975-092T06:21:39.185  303.588  273.805  288.697   2.975  29.783 
1975-092T06:28:53.879  303.594  273.800  288.697   2.975  29.794 
1975-092T06:36:08.572  303.591  273.802  288.697   2.975  29.789 
1975-092T06:43:23.272  303.594  273.800  288.697   2.975  29.794 
1975-092T06:50:37.966  303.492  273.709  288.600   2.974  29.783 
1975-092T06:57:52.658  303.455  273.679  288.567   2.974  29.777 
1975-092T07:05:07.352  303.412  273.625  288.519   2.973  29.787 
1975-092T07:12:22.045  303.356  273.585  288.471   2.973  29.771 
1975-092T07:19:36.740  303.307  273.537  288.422   2.972  29.770 
1975-092T07:26:51.434  303.277  273.502  288.389   2.971  29.775 
1975-092T07:34:06.128  303.307  273.537  288.422   2.972  29.770 
1975-092T07:41:20.820  303.223  273.459  288.341   2.971  29.764 
1975-092T07:48:35.504  303.226  273.456  288.341   2.971  29.769 
